"STATISTIC Label","Year","Single year of age","Females","Males","All persons"
"Mid-year population estimate",1971,"0",15485,15886,31371
"Mid-year population estimate",1971,"1",15432,15957,31389
"Mid-year population estimate",1971,"2",15540,16038,31578
"Mid-year population estimate",1971,"3",15566,16269,31835
"Mid-year population estimate",1971,"4",15418,16187,31605
"Mid-year population estimate",1971,"5",15711,16765,32476
"Mid-year population estimate",1971,"6",16110,17051,33161
"Mid-year population estimate",1971,"7",15888,16621,32509
"Mid-year population estimate",1971,"8",15256,16074,31330
"Mid-year population estimate",1971,"9",14962,15260,30222
"Mid-year population estimate",1971,"10",14457,14762,29219
"Mid-year population estimate",1971,"11",13971,14239,28210
"Mid-year population estimate",1971,"12",13500,13713,27213
"Mid-year population estimate",1971,"13",13556,13767,27323
"Mid-year population estimate",1971,"14",13417,13755,27172
"Mid-year population estimate",1971,"15",12468,13663,26131
"Mid-year population estimate",1971,"16",11951,13346,25297
"Mid-year population estimate",1971,"17",11982,13598,25580
"Mid-year population estimate",1971,"18",12195,12211,24406
"Mid-year population estimate",1971,"19",12181,12205,24386
"Mid-year population estimate",1971,"20",12047,13463,25510
"Mid-year population estimate",1971,"21",12025,13067,25092
"Mid-year population estimate",1971,"22",11843,12508,24351
"Mid-year population estimate",1971,"23",11519,11871,23390
"Mid-year population estimate",1971,"24",11177,11401,22578
"Mid-year population estimate",1971,"25",10530,10472,21002
"Mid-year population estimate",1971,"26",10454,10148,20602
"Mid-year population estimate",1971,"27",10495,10269,20764
"Mid-year population estimate",1971,"28",10326,10234,20560
"Mid-year population estimate",1971,"29",9220,9352,18572
"Mid-year population estimate",1971,"30",8784,8905,17689
"Mid-year population estimate",1971,"31",8835,8891,17726
"Mid-year population estimate",1971,"32",8853,8926,17779
"Mid-year population estimate",1971,"33",8474,8750,17224
"Mid-year population estimate",1971,"34",8530,8820,17350
"Mid-year population estimate",1971,"35",8560,8433,16993
"Mid-year population estimate",1971,"36",8264,8091,16355
"Mid-year population estimate",1971,"37",8133,8003,16136
"Mid-year population estimate",1971,"38",8326,7963,16289
"Mid-year population estimate",1971,"39",8180,7984,16164
"Mid-year population estimate",1971,"40",8408,8152,16560
"Mid-year population estimate",1971,"41",8444,8080,16524
"Mid-year population estimate",1971,"42",8297,8052,16349
"Mid-year population estimate",1971,"43",8333,7955,16288
"Mid-year population estimate",1971,"44",8612,8326,16938
"Mid-year population estimate",1971,"45",8649,8019,16668
"Mid-year population estimate",1971,"46",8405,7946,16351
"Mid-year population estimate",1971,"47",8700,8022,16722
"Mid-year population estimate",1971,"48",8757,8166,16923
"Mid-year population estimate",1971,"49",9003,8429,17432
"Mid-year population estimate",1971,"50",9204,8587,17791
"Mid-year population estimate",1971,"51",9140,8554,17694
"Mid-year population estimate",1971,"52",8354,7785,16139
"Mid-year population estimate",1971,"53",7613,6954,14567
"Mid-year population estimate",1971,"54",7603,7042,14645
"Mid-year population estimate",1971,"55",7904,7196,15100
"Mid-year population estimate",1971,"56",8432,7446,15878
"Mid-year population estimate",1971,"57",8282,7436,15718
"Mid-year population estimate",1971,"58",8314,7400,15714
"Mid-year population estimate",1971,"59",8046,7251,15297
"Mid-year population estimate",1971,"60",8254,7597,15851
"Mid-year population estimate",1971,"61",7907,7417,15324
"Mid-year population estimate",1971,"62",7738,7211,14949
"Mid-year population estimate",1971,"63",7511,6861,14372
"Mid-year population estimate",1971,"64",7443,6559,14002
"Mid-year population estimate",1971,"65",7277,5735,13012
"Mid-year population estimate",1971,"66",7042,5410,12452
"Mid-year population estimate",1971,"67",6685,5180,11865
"Mid-year population estimate",1971,"68",6396,4906,11302
"Mid-year population estimate",1971,"69",6147,4501,10648
"Mid-year population estimate",1971,"70",6087,4447,10534
"Mid-year population estimate",1971,"71",5920,4237,10157
"Mid-year population estimate",1971,"72",5449,3917,9366
"Mid-year population estimate",1971,"73",5036,3626,8662
"Mid-year population estimate",1971,"74",5024,3229,8253
"Mid-year population estimate",1971,"75",4814,3108,7922
"Mid-year population estimate",1971,"76",4347,2817,7164
"Mid-year population estimate",1971,"77",4002,2397,6399
"Mid-year population estimate",1971,"78",3593,2205,5798
"Mid-year population estimate",1971,"79",3136,1911,5047
"Mid-year population estimate",1971,"80",2768,1760,4528
"Mid-year population estimate",1971,"81",2521,1562,4083
"Mid-year population estimate",1971,"82",2650,1501,4151
"Mid-year population estimate",1971,"83",2023,1068,3091
"Mid-year population estimate",1971,"84",1739,888,2627
"Mid-year population estimate",1971,"85",1335,650,1985
"Mid-year population estimate",1971,"86",1164,547,1711
"Mid-year population estimate",1971,"87",869,359,1228
"Mid-year population estimate",1971,"88",684,334,1018
"Mid-year population estimate",1971,"89",539,272,811
"Mid-year population estimate",1971,"90",1579,685,2264
"Mid-year population estimate",1971,"All",785800,754613,1540413
"Mid-year population estimate",1972,"0",14646,15862,30508
"Mid-year population estimate",1972,"1",15144,15621,30765
"Mid-year population estimate",1972,"2",15134,15742,30876
"Mid-year population estimate",1972,"3",15253,15824,31077
"Mid-year population estimate",1972,"4",15282,16057,31339
"Mid-year population estimate",1972,"5",15297,16072,31369
"Mid-year population estimate",1972,"6",15593,16655,32248
"Mid-year population estimate",1972,"7",15993,16937,32930
"Mid-year population estimate",1972,"8",15774,16509,32283
"Mid-year population estimate",1972,"9",15138,15959,31097
"Mid-year population estimate",1972,"10",14919,15226,30145
"Mid-year population estimate",1972,"11",14417,14725,29142
"Mid-year population estimate",1972,"12",13933,14207,28140
"Mid-year population estimate",1972,"13",13458,13678,27136
"Mid-year population estimate",1972,"14",13513,13728,27241
"Mid-year population estimate",1972,"15",13075,13314,26389
"Mid-year population estimate",1972,"16",12131,13227,25358
"Mid-year population estimate",1972,"17",11618,13266,24884
"Mid-year population estimate",1972,"18",11629,11652,23281
"Mid-year population estimate",1972,"19",11851,11885,23736
"Mid-year population estimate",1972,"20",11465,13315,24780
"Mid-year population estimate",1972,"21",11328,13012,24340
"Mid-year population estimate",1972,"22",11300,12611,23911
"Mid-year population estimate",1972,"23",11122,12061,23183
"Mid-year population estimate",1972,"24",10802,11427,22229
"Mid-year population estimate",1972,"25",10870,11398,22268
"Mid-year population estimate",1972,"26",10235,10612,20847
"Mid-year population estimate",1972,"27",10157,10282,20439
"Mid-year population estimate",1972,"28",10195,10405,20600
"Mid-year population estimate",1972,"29",10026,10368,20394
"Mid-year population estimate",1972,"30",9071,9179,18250
"Mid-year population estimate",1972,"31",8633,8988,17621
"Mid-year population estimate",1972,"32",8688,8977,17665
"Mid-year population estimate",1972,"33",8700,9013,17713
"Mid-year population estimate",1972,"34",8328,8836,17164
"Mid-year population estimate",1972,"35",8461,8813,17274
"Mid-year population estimate",1972,"36",8490,8476,16966
"Mid-year population estimate",1972,"37",8194,8134,16328
"Mid-year population estimate",1972,"38",8059,8044,16103
"Mid-year population estimate",1972,"39",8252,8009,16261
"Mid-year population estimate",1972,"40",8145,7886,16031
"Mid-year population estimate",1972,"41",8368,8168,16536
"Mid-year population estimate",1972,"42",8403,8084,16487
"Mid-year population estimate",1972,"43",8257,8062,16319
"Mid-year population estimate",1972,"44",8296,7958,16254
"Mid-year population estimate",1972,"45",8514,8236,16750
"Mid-year population estimate",1972,"46",8542,7977,16519
"Mid-year population estimate",1972,"47",8310,7902,16212
"Mid-year population estimate",1972,"48",8605,7961,16566
"Mid-year population estimate",1972,"49",8657,8116,16773
"Mid-year population estimate",1972,"50",8845,8294,17139
"Mid-year population estimate",1972,"51",9052,8464,17516
"Mid-year population estimate",1972,"52",8975,8420,17395
"Mid-year population estimate",1972,"53",8195,7631,15826
"Mid-year population estimate",1972,"54",7461,6815,14276
"Mid-year population estimate",1972,"55",7468,6881,14349
"Mid-year population estimate",1972,"56",7770,7057,14827
"Mid-year population estimate",1972,"57",8289,7286,15575
"Mid-year population estimate",1972,"58",8110,7271,15381
"Mid-year population estimate",1972,"59",8151,7203,15354
"Mid-year population estimate",1972,"60",7992,7573,15565
"Mid-year population estimate",1972,"61",8184,7512,15696
"Mid-year population estimate",1972,"62",7826,7295,15121
"Mid-year population estimate",1972,"63",7647,7062,14709
"Mid-year population estimate",1972,"64",7400,6730,14130
"Mid-year population estimate",1972,"65",7288,5916,13204
"Mid-year population estimate",1972,"66",7104,5507,12611
"Mid-year population estimate",1972,"67",6875,5216,12091
"Mid-year population estimate",1972,"68",6479,4940,11419
"Mid-year population estimate",1972,"69",6221,4654,10875
"Mid-year population estimate",1972,"70",5974,4251,10225
"Mid-year population estimate",1972,"71",5852,4189,10041
"Mid-year population estimate",1972,"72",5694,3977,9671
"Mid-year population estimate",1972,"73",5174,3637,8811
"Mid-year population estimate",1972,"74",4808,3377,8185
"Mid-year population estimate",1972,"75",4704,2947,7651
"Mid-year population estimate",1972,"76",4476,2824,7300
"Mid-year population estimate",1972,"77",4039,2534,6573
"Mid-year population estimate",1972,"78",3691,2132,5823
"Mid-year population estimate",1972,"79",3294,1941,5235
"Mid-year population estimate",1972,"80",2887,1676,4563
"Mid-year population estimate",1972,"81",2499,1561,4060
"Mid-year population estimate",1972,"82",2276,1363,3639
"Mid-year population estimate",1972,"83",2362,1282,3644
"Mid-year population estimate",1972,"84",1763,862,2625
"Mid-year population estimate",1972,"85",1500,709,2209
"Mid-year population estimate",1972,"86",1113,497,1610
"Mid-year population estimate",1972,"87",974,405,1379
"Mid-year population estimate",1972,"88",683,252,935
"Mid-year population estimate",1972,"89",534,254,788
"Mid-year population estimate",1972,"90",1568,656,2224
"Mid-year population estimate",1972,"All",781468,757509,1538977
"Mid-year population estimate",1973,"0",14041,15215,29256
"Mid-year population estimate",1973,"1",14251,15543,29794
"Mid-year population estimate",1973,"2",14786,15346,30132
"Mid-year population estimate",1973,"3",14786,15468,30254
"Mid-year population estimate",1973,"4",14909,15552,30461
"Mid-year population estimate",1973,"5",15105,15883,30988
"Mid-year population estimate",1973,"6",15122,15902,31024
"Mid-year population estimate",1973,"7",15417,16479,31896
"Mid-year population estimate",1973,"8",15819,16763,32582
"Mid-year population estimate",1973,"9",15598,16334,31932
"Mid-year population estimate",1973,"10",15041,15870,30911
"Mid-year population estimate",1973,"11",14827,15136,29963
"Mid-year population estimate",1973,"12",14328,14642,28970
"Mid-year population estimate",1973,"13",13842,14123,27965
"Mid-year population estimate",1973,"14",13366,13590,26956
"Mid-year population estimate",1973,"15",13116,13229,26345
"Mid-year population estimate",1973,"16",12684,12821,25505
"Mid-year population estimate",1973,"17",11749,13156,24905
"Mid-year population estimate",1973,"18",11213,11240,22453
"Mid-year population estimate",1973,"19",11236,11276,22512
"Mid-year population estimate",1973,"20",11079,13197,24276
"Mid-year population estimate",1973,"21",10685,12675,23360
"Mid-year population estimate",1973,"22",10543,12369,22912
"Mid-year population estimate",1973,"23",10520,11977,22497
"Mid-year population estimate",1973,"24",10345,11432,21777
"Mid-year population estimate",1973,"25",10446,11220,21666
"Mid-year population estimate",1973,"26",10529,11398,21927
"Mid-year population estimate",1973,"27",9894,10608,20502
"Mid-year population estimate",1973,"28",9814,10280,20094
"Mid-year population estimate",1973,"29",9852,10402,20254
"Mid-year population estimate",1973,"30",9839,9996,19835
"Mid-year population estimate",1973,"31",8885,9178,18063
"Mid-year population estimate",1973,"32",8451,8991,17442
"Mid-year population estimate",1973,"33",8501,8981,17482
"Mid-year population estimate",1973,"34",8520,9017,17537
"Mid-year population estimate",1973,"35",8227,8732,16959
"Mid-year population estimate",1973,"36",8359,8787,17146
"Mid-year population estimate",1973,"37",8390,8450,16840
"Mid-year population estimate",1973,"38",8091,8108,16199
"Mid-year population estimate",1973,"39",7955,8022,15977
"Mid-year population estimate",1973,"40",8188,7816,16004
"Mid-year population estimate",1973,"41",8076,7856,15932
"Mid-year population estimate",1973,"42",8298,8126,16424
"Mid-year population estimate",1973,"43",8335,8047,16382
"Mid-year population estimate",1973,"44",8192,8020,16212
"Mid-year population estimate",1973,"45",8169,7809,15978
"Mid-year population estimate",1973,"46",8379,8158,16537
"Mid-year population estimate",1973,"47",8418,7899,16317
"Mid-year population estimate",1973,"48",8186,7809,15995
"Mid-year population estimate",1973,"49",8475,7878,16353
"Mid-year population estimate",1973,"50",8470,7940,16410
"Mid-year population estimate",1973,"51",8663,8142,16805
"Mid-year population estimate",1973,"52",8858,8302,17160
"Mid-year population estimate",1973,"53",8788,8242,17030
"Mid-year population estimate",1973,"54",8016,7468,15484
"Mid-year population estimate",1973,"55",7302,6626,13928
"Mid-year population estimate",1973,"56",7310,6725,14035
"Mid-year population estimate",1973,"57",7602,6882,14484
"Mid-year population estimate",1973,"58",8095,7107,15202
"Mid-year population estimate",1973,"59",7925,7063,14988
"Mid-year population estimate",1973,"60",8078,7507,15585
"Mid-year population estimate",1973,"61",7900,7387,15287
"Mid-year population estimate",1973,"62",8082,7295,15377
"Mid-year population estimate",1973,"63",7717,7055,14772
"Mid-year population estimate",1973,"64",7521,6839,14360
"Mid-year population estimate",1973,"65",7230,6010,13240
"Mid-year population estimate",1973,"66",7106,5693,12799
"Mid-year population estimate",1973,"67",6928,5317,12245
"Mid-year population estimate",1973,"68",6664,4987,11651
"Mid-year population estimate",1973,"69",6298,4701,10999
"Mid-year population estimate",1973,"70",6044,4417,10461
"Mid-year population estimate",1973,"71",5742,4009,9751
"Mid-year population estimate",1973,"72",5628,3945,9573
"Mid-year population estimate",1973,"73",5428,3716,9144
"Mid-year population estimate",1973,"74",4951,3405,8356
"Mid-year population estimate",1973,"75",4497,3113,7610
"Mid-year population estimate",1973,"76",4378,2681,7059
"Mid-year population estimate",1973,"77",4178,2560,6738
"Mid-year population estimate",1973,"78",3738,2288,6026
"Mid-year population estimate",1973,"79",3402,1888,5290
"Mid-year population estimate",1973,"80",3059,1727,4786
"Mid-year population estimate",1973,"81",2635,1493,4128
"Mid-year population estimate",1973,"82",2268,1379,3647
"Mid-year population estimate",1973,"83",2009,1165,3174
"Mid-year population estimate",1973,"84",2121,1096,3217
"Mid-year population estimate",1973,"85",1545,700,2245
"Mid-year population estimate",1973,"86",1297,571,1868
"Mid-year population estimate",1973,"87",940,369,1309
"Mid-year population estimate",1973,"88",805,308,1113
"Mid-year population estimate",1973,"89",548,180,728
"Mid-year population estimate",1973,"90",1605,641,2246
"Mid-year population estimate",1973,"All",774248,755745,1529993
"Mid-year population estimate",1974,"0",13534,14569,28103
"Mid-year population estimate",1974,"1",13793,15023,28816
"Mid-year population estimate",1974,"2",14034,15376,29410
"Mid-year population estimate",1974,"3",14577,15186,29763
"Mid-year population estimate",1974,"4",14585,15316,29901
"Mid-year population estimate",1974,"5",14815,15461,30276
"Mid-year population estimate",1974,"6",15016,15796,30812
"Mid-year population estimate",1974,"7",15033,15808,30841
"Mid-year population estimate",1974,"8",15331,16391,31722
"Mid-year population estimate",1974,"9",15730,16678,32408
"Mid-year population estimate",1974,"10",15562,16303,31865
"Mid-year population estimate",1974,"11",15004,15837,30841
"Mid-year population estimate",1974,"12",14791,15105,29896
"Mid-year population estimate",1974,"13",14293,14612,28905
"Mid-year population estimate",1974,"14",13806,14087,27893
"Mid-year population estimate",1974,"15",13132,13286,26418
"Mid-year population estimate",1974,"16",12878,12924,25802
"Mid-year population estimate",1974,"17",12460,12932,25392
"Mid-year population estimate",1974,"18",11499,11525,23024
"Mid-year population estimate",1974,"19",10976,11016,21992
"Mid-year population estimate",1974,"20",10762,12968,23730
"Mid-year population estimate",1974,"21",10588,12651,23239
"Mid-year population estimate",1974,"22",10196,12132,22328
"Mid-year population estimate",1974,"23",10053,11835,21888
"Mid-year population estimate",1974,"24",10030,11436,21466
"Mid-year population estimate",1974,"25",10120,11081,21201
"Mid-year population estimate",1974,"26",10241,11109,21350
"Mid-year population estimate",1974,"27",10326,11294,21620
"Mid-year population estimate",1974,"28",9690,10498,20188
"Mid-year population estimate",1974,"29",9606,10173,19779
"Mid-year population estimate",1974,"30",9743,9920,19663
"Mid-year population estimate",1974,"31",9731,9938,19669
"Mid-year population estimate",1974,"32",8778,9131,17909
"Mid-year population estimate",1974,"33",8350,8941,17291
"Mid-year population estimate",1974,"34",8392,8931,17323
"Mid-year population estimate",1974,"35",8468,8864,17332
"Mid-year population estimate",1974,"36",8171,8671,16842
"Mid-year population estimate",1974,"37",8304,8727,17031
"Mid-year population estimate",1974,"38",8329,8390,16719
"Mid-year population estimate",1974,"39",8028,8052,16080
"Mid-year population estimate",1974,"40",7914,7802,15716
"Mid-year population estimate",1974,"41",8157,7775,15932
"Mid-year population estimate",1974,"42",8046,7810,15856
"Mid-year population estimate",1974,"43",8266,8077,16343
"Mid-year population estimate",1974,"44",8291,7998,16289
"Mid-year population estimate",1974,"45",8108,7871,15979
"Mid-year population estimate",1974,"46",8092,7755,15847
"Mid-year population estimate",1974,"47",8298,8090,16388
"Mid-year population estimate",1974,"48",8335,7822,16157
"Mid-year population estimate",1974,"49",8108,7736,15844
"Mid-year population estimate",1974,"50",8360,7717,16077
"Mid-year population estimate",1974,"51",8342,7794,16136
"Mid-year population estimate",1974,"52",8547,8016,16563
"Mid-year population estimate",1974,"53",8734,8163,16897
"Mid-year population estimate",1974,"54",8651,8089,16740
"Mid-year population estimate",1974,"55",7891,7266,15157
"Mid-year population estimate",1974,"56",7192,6493,13685
"Mid-year population estimate",1974,"57",7181,6587,13768
"Mid-year population estimate",1974,"58",7478,6714,14192
"Mid-year population estimate",1974,"59",7948,6922,14870
"Mid-year population estimate",1974,"60",7866,7361,15227
"Mid-year population estimate",1974,"61",7971,7318,15289
"Mid-year population estimate",1974,"62",7826,7149,14975
"Mid-year population estimate",1974,"63",7968,7040,15008
"Mid-year population estimate",1974,"64",7599,6796,14395
"Mid-year population estimate",1974,"65",7368,6104,13472
"Mid-year population estimate",1974,"66",7070,5775,12845
"Mid-year population estimate",1974,"67",6951,5451,12402
"Mid-year population estimate",1974,"68",6752,5072,11824
"Mid-year population estimate",1974,"69",6483,4725,11208
"Mid-year population estimate",1974,"70",6094,4456,10550
"Mid-year population estimate",1974,"71",5826,4160,9986
"Mid-year population estimate",1974,"72",5555,3739,9294
"Mid-year population estimate",1974,"73",5404,3676,9080
"Mid-year population estimate",1974,"74",5146,3452,8598
"Mid-year population estimate",1974,"75",4642,3114,7756
"Mid-year population estimate",1974,"76",4189,2819,7008
"Mid-year population estimate",1974,"77",4049,2426,6475
"Mid-year population estimate",1974,"78",3856,2286,6142
"Mid-year population estimate",1974,"79",3413,2018,5431
"Mid-year population estimate",1974,"80",3125,1716,4841
"Mid-year population estimate",1974,"81",2804,1525,4329
"Mid-year population estimate",1974,"82",2373,1295,3668
"Mid-year population estimate",1974,"83",2004,1182,3186
"Mid-year population estimate",1974,"84",1746,982,2728
"Mid-year population estimate",1974,"85",1871,922,2793
"Mid-year population estimate",1974,"86",1333,540,1873
"Mid-year population estimate",1974,"87",1077,431,1508
"Mid-year population estimate",1974,"88",749,257,1006
"Mid-year population estimate",1974,"89",615,208,823
"Mid-year population estimate",1974,"90",1530,528,2058
"Mid-year population estimate",1974,"All",771949,754993,1526942
"Mid-year population estimate",1975,"0",12854,13849,26703
"Mid-year population estimate",1975,"1",13318,14378,27696
"Mid-year population estimate",1975,"2",13614,14878,28492
"Mid-year population estimate",1975,"3",13855,15236,29091
"Mid-year population estimate",1975,"4",14404,15050,29454
"Mid-year population estimate",1975,"5",14495,15226,29721
"Mid-year population estimate",1975,"6",14728,15376,30104
"Mid-year population estimate",1975,"7",14928,15704,30632
"Mid-year population estimate",1975,"8",14945,15721,30666
"Mid-year population estimate",1975,"9",15243,16302,31545
"Mid-year population estimate",1975,"10",15680,16628,32308
"Mid-year population estimate",1975,"11",15515,16251,31766
"Mid-year population estimate",1975,"12",14957,15787,30744
"Mid-year population estimate",1975,"13",14740,15058,29798
"Mid-year population estimate",1975,"14",14248,14565,28813
"Mid-year population estimate",1975,"15",13610,13841,27451
"Mid-year population estimate",1975,"16",12940,13043,25983
"Mid-year population estimate",1975,"17",12698,13063,25761
"Mid-year population estimate",1975,"18",12252,12282,24534
"Mid-year population estimate",1975,"19",11301,11346,22647
"Mid-year population estimate",1975,"20",10620,12552,23172
"Mid-year population estimate",1975,"21",10381,12349,22730
"Mid-year population estimate",1975,"22",10206,12033,22239
"Mid-year population estimate",1975,"23",9822,11520,21342
"Mid-year population estimate",1975,"24",9672,11229,20901
"Mid-year population estimate",1975,"25",9848,10956,20804
"Mid-year population estimate",1975,"26",9955,10835,20790
"Mid-year population estimate",1975,"27",10075,10853,20928
"Mid-year population estimate",1975,"28",10156,11045,21201
"Mid-year population estimate",1975,"29",9525,10256,19781
"Mid-year population estimate",1975,"30",9507,9653,19160
"Mid-year population estimate",1975,"31",9650,9817,19467
"Mid-year population estimate",1975,"32",9631,9840,19471
"Mid-year population estimate",1975,"33",8680,9036,17716
"Mid-year population estimate",1975,"34",8257,8848,17105
"Mid-year population estimate",1975,"35",8334,8740,17074
"Mid-year population estimate",1975,"36",8412,8770,17182
"Mid-year population estimate",1975,"37",8120,8584,16704
"Mid-year population estimate",1975,"38",8251,8629,16880
"Mid-year population estimate",1975,"39",8269,8300,16569
"Mid-year population estimate",1975,"40",7990,7805,15795
"Mid-year population estimate",1975,"41",7870,7738,15608
"Mid-year population estimate",1975,"42",8111,7707,15818
"Mid-year population estimate",1975,"43",8001,7733,15734
"Mid-year population estimate",1975,"44",8225,7996,16221
"Mid-year population estimate",1975,"45",8222,7838,16060
"Mid-year population estimate",1975,"46",8031,7803,15834
"Mid-year population estimate",1975,"47",8020,7676,15696
"Mid-year population estimate",1975,"48",8219,7995,16214
"Mid-year population estimate",1975,"49",8251,7739,15990
"Mid-year population estimate",1975,"50",8007,7562,15569
"Mid-year population estimate",1975,"51",8254,7605,15859
"Mid-year population estimate",1975,"52",8236,7661,15897
"Mid-year population estimate",1975,"53",8421,7861,16282
"Mid-year population estimate",1975,"54",8617,8006,16623
"Mid-year population estimate",1975,"55",8537,7898,16435
"Mid-year population estimate",1975,"56",7776,7124,14900
"Mid-year population estimate",1975,"57",7082,6350,13432
"Mid-year population estimate",1975,"58",7071,6433,13504
"Mid-year population estimate",1975,"59",7350,6557,13907
"Mid-year population estimate",1975,"60",7876,7283,15159
"Mid-year population estimate",1975,"61",7776,7239,15015
"Mid-year population estimate",1975,"62",7878,7209,15087
"Mid-year population estimate",1975,"63",7702,7011,14713
"Mid-year population estimate",1975,"64",7848,6891,14739
"Mid-year population estimate",1975,"65",7431,6103,13534
"Mid-year population estimate",1975,"66",7218,5892,13110
"Mid-year population estimate",1975,"67",6895,5550,12445
"Mid-year population estimate",1975,"68",6775,5215,11990
"Mid-year population estimate",1975,"69",6593,4813,11406
"Mid-year population estimate",1975,"70",6298,4456,10754
"Mid-year population estimate",1975,"71",5877,4185,10062
"Mid-year population estimate",1975,"72",5619,3881,9500
"Mid-year population estimate",1975,"73",5361,3507,8868
"Mid-year population estimate",1975,"74",5163,3403,8566
"Mid-year population estimate",1975,"75",4818,3120,7938
"Mid-year population estimate",1975,"76",4338,2835,7173
"Mid-year population estimate",1975,"77",3884,2528,6412
"Mid-year population estimate",1975,"78",3732,2159,5891
"Mid-year population estimate",1975,"79",3530,2022,5552
"Mid-year population estimate",1975,"80",3114,1763,4877
"Mid-year population estimate",1975,"81",2804,1500,4304
"Mid-year population estimate",1975,"82",2530,1315,3845
"Mid-year population estimate",1975,"83",2114,1100,3214
"Mid-year population estimate",1975,"84",1747,995,2742
"Mid-year population estimate",1975,"85",1499,798,2297
"Mid-year population estimate",1975,"86",1624,750,2374
"Mid-year population estimate",1975,"87",1104,383,1487
"Mid-year population estimate",1975,"88",871,304,1175
"Mid-year population estimate",1975,"89",599,157,756
"Mid-year population estimate",1975,"90",1562,468,2030
"Mid-year population estimate",1975,"All",770167,753351,1523518
"Mid-year population estimate",1976,"0",12567,13412,25979
"Mid-year population estimate",1976,"1",12675,13708,26383
"Mid-year population estimate",1976,"2",13169,14266,27435
"Mid-year population estimate",1976,"3",13473,14767,28240
"Mid-year population estimate",1976,"4",13718,15129,28847
"Mid-year population estimate",1976,"5",14335,14981,29316
"Mid-year population estimate",1976,"6",14427,15105,29532
"Mid-year population estimate",1976,"7",14656,15310,29966
"Mid-year population estimate",1976,"8",14858,15633,30491
"Mid-year population estimate",1976,"9",14875,15649,30524
"Mid-year population estimate",1976,"10",15207,16266,31473
"Mid-year population estimate",1976,"11",15643,16590,32233
"Mid-year population estimate",1976,"12",15479,16213,31692
"Mid-year population estimate",1976,"13",14923,15750,30673
"Mid-year population estimate",1976,"14",14708,15020,29728
"Mid-year population estimate",1976,"15",14091,14364,28455
"Mid-year population estimate",1976,"16",13450,13644,27094
"Mid-year population estimate",1976,"17",12796,13274,26070
"Mid-year population estimate",1976,"18",12522,12560,25082
"Mid-year population estimate",1976,"19",12095,12153,24248
"Mid-year population estimate",1976,"20",11010,12945,23955
"Mid-year population estimate",1976,"21",10310,12470,22780
"Mid-year population estimate",1976,"22",10065,12268,22333
"Mid-year population estimate",1976,"23",9901,11956,21857
"Mid-year population estimate",1976,"24",9517,11449,20966
"Mid-year population estimate",1976,"25",9521,10938,20459
"Mid-year population estimate",1976,"26",9708,10851,20559
"Mid-year population estimate",1976,"27",9814,10738,20552
"Mid-year population estimate",1976,"28",9935,10750,20685
"Mid-year population estimate",1976,"29",10015,10944,20959
"Mid-year population estimate",1976,"30",9444,9855,19299
"Mid-year population estimate",1976,"31",9431,9569,19000
"Mid-year population estimate",1976,"32",9570,9733,19303
"Mid-year population estimate",1976,"33",9552,9748,19300
"Mid-year population estimate",1976,"34",8602,8953,17555
"Mid-year population estimate",1976,"35",8208,8626,16834
"Mid-year population estimate",1976,"36",8291,8608,16899
"Mid-year population estimate",1976,"37",8369,8641,17010
"Mid-year population estimate",1976,"38",8077,8451,16528
"Mid-year population estimate",1976,"39",8204,8508,16712
"Mid-year population estimate",1976,"40",8237,8029,16266
"Mid-year population estimate",1976,"41",7962,7700,15662
"Mid-year population estimate",1976,"42",7841,7637,15478
"Mid-year population estimate",1976,"43",8074,7592,15666
"Mid-year population estimate",1976,"44",7959,7628,15587
"Mid-year population estimate",1976,"45",8169,7831,16000
"Mid-year population estimate",1976,"46",8156,7743,15899
"Mid-year population estimate",1976,"47",7970,7702,15672
"Mid-year population estimate",1976,"48",7945,7568,15513
"Mid-year population estimate",1976,"49",8143,7881,16024
"Mid-year population estimate",1976,"50",8157,7562,15719
"Mid-year population estimate",1976,"51",7916,7445,15361
"Mid-year population estimate",1976,"52",8152,7470,15622
"Mid-year population estimate",1976,"53",8122,7519,15641
"Mid-year population estimate",1976,"54",8312,7710,16022
"Mid-year population estimate",1976,"55",8528,7850,16378
"Mid-year population estimate",1976,"56",8416,7749,16165
"Mid-year population estimate",1976,"57",7666,6977,14643
"Mid-year population estimate",1976,"58",6969,6187,13156
"Mid-year population estimate",1976,"59",6962,6290,13252
"Mid-year population estimate",1976,"60",7293,6825,14118
"Mid-year population estimate",1976,"61",7789,7023,14812
"Mid-year population estimate",1976,"62",7661,6970,14631
"Mid-year population estimate",1976,"63",7756,6920,14676
"Mid-year population estimate",1976,"64",7563,6702,14265
"Mid-year population estimate",1976,"65",7675,6141,13816
"Mid-year population estimate",1976,"66",7274,5862,13136
"Mid-year population estimate",1976,"67",7050,5643,12693
"Mid-year population estimate",1976,"68",6726,5314,12040
"Mid-year population estimate",1976,"69",6593,4988,11581
"Mid-year population estimate",1976,"70",6392,4537,10929
"Mid-year population estimate",1976,"71",6087,4191,10278
"Mid-year population estimate",1976,"72",5670,3903,9573
"Mid-year population estimate",1976,"73",5366,3596,8962
"Mid-year population estimate",1976,"74",5115,3220,8335
"Mid-year population estimate",1976,"75",4918,3156,8074
"Mid-year population estimate",1976,"76",4485,2849,7334
"Mid-year population estimate",1976,"77",4030,2562,6592
"Mid-year population estimate",1976,"78",3612,2264,5876
